IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
104.16.121.247,443,443,FALSE,FRA,Europe,Frankfurt,169.37,19.02
162.159.130.227,443,443,FALSE,NRT,Asia Pacific,Tokyo,158.41,18.49
162.159.38.141,443,443,FALSE,NRT,Asia Pacific,Tokyo,166.55,18.36
172.64.136.160,443,443,FALSE,NRT,Asia Pacific,Tokyo,162.05,17.84
104.19.251.210,443,443,FALSE,NRT,Asia Pacific,Tokyo,160.53,17.79
162.159.128.204,443,443,FALSE,NRT,Asia Pacific,Tokyo,166.12,17.68
162.159.44.31,443,443,FALSE,NRT,Asia Pacific,Tokyo,170.23,17.38
172.64.140.78,443,443,FALSE,NRT,Asia Pacific,Tokyo,164.67,17.38
172.64.171.150,443,443,FALSE,NRT,Asia Pacific,Tokyo,170.2,17.31
104.21.224.135,443,443,FALSE,NRT,Asia Pacific,Tokyo,170.32,17.16
104.19.130.10,443,443,FALSE,NRT,Asia Pacific,Tokyo,163.95,17.11
104.19.246.154,443,443,FALSE,NRT,Asia Pacific,Tokyo,170.4,17.04
172.64.105.94,443,443,FALSE,NRT,Asia Pacific,Tokyo,165.95,17
162.159.45.140,443,443,FALSE,NRT,Asia Pacific,Tokyo,169.27,16.82
172.64.197.224,443,443,FALSE,NRT,Asia Pacific,Tokyo,167.57,16.77
104.16.112.247,443,443,FALSE,NRT,Asia Pacific,Tokyo,160.39,16.74
162.159.255.51,443,443,FALSE,NRT,Asia Pacific,Tokyo,158.35,16.73
172.64.107.188,443,443,FALSE,NRT,Asia Pacific,Tokyo,169.48,16.48
172.64.96.113,443,443,FALSE,NRT,Asia Pacific,Tokyo,168.33,16.36
104.21.239.70,443,443,FALSE,NRT,Asia Pacific,Tokyo,167.81,16.34
104.19.255.209,443,443,FALSE,NRT,Asia Pacific,Tokyo,161.62,16.07
172.64.133.152,443,443,FALSE,NRT,Asia Pacific,Tokyo,170.89,15.76
104.19.250.73,443,443,FALSE,NRT,Asia Pacific,Tokyo,165.33,15.7
172.64.207.77,443,443,FALSE,FRA,Europe,Frankfurt,170.97,15.62
198.41.211.33,443,443,FALSE,NRT,Asia Pacific,Tokyo,171.27,15.46
104.16.123.95,443,443,FALSE,NRT,Asia Pacific,Tokyo,166.15,15.26
104.16.127.186,443,443,FALSE,NRT,Asia Pacific,Tokyo,168.9,15.18
172.64.141.115,443,443,FALSE,NRT,Asia Pacific,Tokyo,159.61,15.15
104.21.227.168,443,443,FALSE,NRT,Asia Pacific,Tokyo,167.31,15.08
172.64.68.163,443,443,FALSE,NRT,Asia Pacific,Tokyo,168.3,14.97
104.16.119.22,443,443,FALSE,NRT,Asia Pacific,Tokyo,170.35,14.75
172.64.101.43,443,443,FALSE,NRT,Asia Pacific,Tokyo,167.56,14.7
104.21.236.62,443,443,FALSE,NRT,Asia Pacific,Tokyo,166.28,14.57
172.64.109.221,443,443,FALSE,NRT,Asia Pacific,Tokyo,163.14,14.29
172.64.138.94,443,443,FALSE,NRT,Asia Pacific,Tokyo,165.88,14.29
162.159.129.43,443,443,FALSE,NRT,Asia Pacific,Tokyo,163.33,13.53
172.64.192.240,443,443,FALSE,NRT,Asia Pacific,Tokyo,168.04,12.87
172.64.110.90,443,443,FALSE,NRT,Asia Pacific,Tokyo,163.86,12.7
172.64.139.222,443,443,FALSE,NRT,Asia Pacific,Tokyo,157.15,12.59
172.64.103.71,443,443,FALSE,NRT,Asia Pacific,Tokyo,171.15,12.23
104.21.229.105,443,443,FALSE,NRT,Asia Pacific,Tokyo,168.65,12.04
104.16.126.75,443,443,FALSE,NRT,Asia Pacific,Tokyo,167.3,11.94
104.16.125.53,443,443,FALSE,NRT,Asia Pacific,Tokyo,171.5,11.91
172.64.99.107,443,443,FALSE,FRA,Europe,Frankfurt,171.38,11.47
172.64.137.48,443,443,FALSE,NRT,Asia Pacific,Tokyo,167.64,11.13
172.64.132.112,443,443,FALSE,NRT,Asia Pacific,Tokyo,162.54,10.36
104.21.238.146,443,443,FALSE,FRA,Europe,Frankfurt,162.21,10.08
172.64.102.78,443,443,FALSE,NRT,Asia Pacific,Tokyo,166.7,9.7
172.64.135.148,443,443,FALSE,NRT,Asia Pacific,Tokyo,163.61,9.02
172.64.100.132,8443,8443,FALSE,NRT,Asia Pacific,Tokyo,164.82,4.79
